text,url,sign_url,distribution,component,architecture,notes
"deadsnakes PPA as one-line-style list format",deb https://ppa.launchpadcontent.net/deadsnakes/ppa/ubuntu focal main,,,,
"deadsnakes apt PPA as deb822-style sources format",https://ppa.launchpadcontent.net/deadsnakes/ppa/ubuntu,,focal,main,
"Docker apt repository",deb [arch=amd64 signed-by=https://download.docker.com/linux/ubuntu/gpg] https://download.docker.com/linux/ubuntu focal stable,,,,
"Nginx apt repository",https://nginx.org/packages/ubuntu/,https://nginx.org/keys/nginx_signing.key,focal,stable,amd64
"PostgreSQL apt repository",https://apt.postgresql.org/pub/repos/apt,https://www.postgresql.org/media/keys/ACCC4CF8.asc,focal-pgdg,main,amd64
"HashiCorp apt repository",https://apt.releases.hashicorp.com,https://apt.releases.hashicorp.com/gpg,focal,main,amd64 arm64
"Google Chrome apt repository",https://dl.google.com/linux/chrome/deb,https://dl.google.com/linux/linux_signing_key.pub,,,
"Old Ubuntu releases",https://old-releases.ubuntu.com/ubuntu,,,,
"Jellyfin Media Server repository",https://repo.jellyfin.org/ubuntu,https://repo.jellyfin.org/jellyfin_team.gpg.key,noble,main,amd64
"Linux Mint repository",https://mirror.aarnet.edu.au/pub/linuxmint-packages/,https://keyserver.ubuntu.com/pks/lookup?op=get&search=0x302f0738f465c1535761f965a6616109451bbbf2,zara,main,amd64
"Ubuntu repository",https://mirror.aarnet.edu.au/pub/ubuntu/archive/,https://mirror.aarnet.edu.au/pub/ubuntu/archive/project/ubuntu-archive-keyring.gpg,noble,main,amd64
"Debian repository",https://mirror.aarnet.edu.au/pub/debian/,https://ftp-master.debian.org/keys/archive-key-13.asc,trixie,main,amd64,Signing key is from https://ftp-master.debian.org/keys.html
